url,doc_id,title,audience,department,category,language,document_version,license_or_permission
https://admissions.vinuni.edu.vn/vi/hoc-bong-va-ho-tro-tai-chinh/cu-nhan/hoc-bong,scholarship_vinuni2026,Học bổng và hỗ trợ tài chính VinUniversity,student,admissions,học bổng,vi,not-stated,public
https://daihoc.fpt.edu.vn/hoc-bong/faq-hoc-bong,scholarship_fpt_faq,FAQ Học bổng Đại học FPT,student,admissions,học bổng,vi,not-stated,public
https://hust.edu.vn/vi/sinh-vien/hoc-bong-hoc-phi/hoc-bong-645445.html,scholarship_hust2026,Học bổng Đại học Bách Khoa Hà Nội,student,student-affairs,học bổng,vi,not-stated,public
https://tuyensinh.hnue.edu.vn/thong-bao/488,scholarship_hnue2026,Các chương trình học bổng và hỗ trợ chi phí học tập cho sinh viên,student,student-affairs,học bổng,vi,84/2020/NĐ-CP;238/2025/NĐ-CP;116/2020/NĐ-CP,public
https://ou.edu.vn/tin_tuc/hbtn-26-27,scholarship_ou2026,Học bổng Tài năng năm học 2026–2027 Đại học Mở TP.HCM,student,student-affairs,học bổng,vi,not-stated,public
https://slt.haui.edu.vn/vn/tuyen-sinh-dai-hoc/dai-hoc-cong-nghiep-ha-noi-danh-nhieu-chinh-sach-hoc-bong-cho-tan-sinh-vien/65364,scholarship_haui2026,Chính sách học bổng cho tân sinh viên Đại học Công nghiệp Hà Nội,student,admissions,học bổng,vi,not-stated,public
https://qldt.ftu.edu.vn/thong-bao-xet-chon-hoc-bong-aeon-nam-2026,scholarship_ftu_aeon2026,Thông báo xét chọn học bổng AEON năm 2026 Đại học Ngoại thương,student,student-affairs,học bổng,vi,not-stated,public
https://huflit.edu.vn/vi/tin-tuc/quy-dinh-ve-viec-xet-cap-hoc-bong-danh-cho-sinh-vien-he-chinh-quy-dang-hoc-tap-tai-truong-dai-hoc-ngoai-ngu-tin-hoc-thanh-pho-ho-chi-minh,scholarship_huflit2026,Quy định xét cấp học bổng cho sinh viên hệ chính quy HUFLIT,student,student-affairs,học bổng,vi,not-stated,public
https://luatminhkhue.vn/chinh-sach-ve-hoc-bong-hoc-phi-doi-voi-hoc-sinh-sinh-vien.aspx,scholarship_luatmk2026,Chính sách học bổng và học phí đối với học sinh, sinh viên,student,education-policy,học bổng,vi,not-stated,public
https://thuvienphapluat.vn/hoi-dap-phap-luat/quy-dinh-ve-hoc-bong-khuyen-khich-hoc-tap-doi-voi-sinh-vien-dai-hoc-nhu-the-nao-138014114.html,scholarship_tpl2026,Quy định học bổng khuyến khích học tập cho sinh viên đại học,student,education-policy,học bổng,vi,not-stated,public
https://hust.edu.vn/vi/sinh-vien/hoc-bong-hoc-phi/hoc-bong-645445.html,scholarship_hust2026,Học bổng Đại học Bách Khoa Hà Nội,student,student-affairs,học bổng,vi,not-stated,public
https://ou.edu.vn/tin_tuc/hbtn-26-27,scholarship_ou2026,Học bổng Tài năng năm học 2026–2027 Đại học Mở TP.HCM,student,student-affairs,học bổng,vi,not-stated,public
https://slt.haui.edu.vn/vn/tuyen-sinh-dai-hoc/dai-hoc-cong-nghiep-ha-noi-danh-nhieu-chinh-sach-hoc-bong-cho-tan-sinh-vien/65364,scholarship_haui2026,Chính sách học bổng cho tân sinh viên Đại học Công nghiệp Hà Nội,student,admissions,học bổng,vi,not-stated,public
https://qldt.ftu.edu.vn/thong-bao-xet-chon-hoc-bong-aeon-nam-2026,scholarship_ftu_aeon2026,Thông báo xét chọn học bổng AEON năm 2026 Đại học Ngoại thương,student,student-affairs,học bổng,vi,not-stated,public
https://huflit.edu.vn/vi/tin-tuc/quy-dinh-ve-viec-xet-cap-hoc-bong-danh-cho-sinh-vien-he-chinh-quy-dang-hoc-tap-tai-truong-dai-hoc-ngoai-ngu-tin-hoc-thanh-pho-ho-chi-minh,scholarship_huflit2026,Quy định xét cấp học bổng cho sinh viên hệ chính quy HUFLIT,student,student-affairs,học bổng,vi,not-stated,public
https://thuvienphapluat.vn/hoi-dap-phap-luat/quy-dinh-ve-hoc-bong-khuyen-khich-hoc-tap-doi-voi-sinh-vien-dai-hoc-nhu-the-nao-138014114.html,scholarship_tpl2026,Quy định học bổng khuyến khích học tập cho sinh viên đại học,student,education-policy,học bổng,vi,not-stated,public
https://luatminhkhue.vn/chinh-sach-ve-hoc-bong-hoc-phi-doi-voi-hoc-sinh-sinh-vien.aspx,scholarship_luatmk2026,Chính sách học bổng và học phí đối với học sinh, sinh viên,student,education-policy,học bổng,vi,not-stated,public
https://duhoc-etest.edu.vn/hoc-bong-tien-sy-2-nam-tai-dai-hoc-harvard-my,scholarship_harvardetest2026,Học bổng Tiến sĩ 2 năm tại Đại học Harvard (ETEST),student,international-programs,học bổng,en,not-stated,public
https://www.180medical.com/scholarships,scholarship_180medical2026,180 Medical College Scholarship,student,international-programs,học bổng,en,not-stated,public
https://architectsfoundation.org/our-programs/architecture-scholarships,scholarship_archfoundation2026,Architecture Scholarships – Architects Foundation,student,international-programs,học bổng,en,not-stated,public
